keys_1,keys_2,keys_3,keys_4,keys_5,keys_6,name,fitness,roll_imbalance,hands_imbalance,row_switch_ratio,switch_ratio,left_effort_ratio,right_effort_ratio,left_count_ratio,right_count_ratio,effort,left_effort,right_effort,left_count,right_count,bigram_switches,row_switch_cost,left_rolls,right_rolls
_pofx,mseru,qyblz,_htg_,kinac,_dwvj,00-80-**,22.8567,0.07%,0.97%,24.56%,35.05%,51.29%,48.71%,50.24%,49.76%,8128505.90,4169350.60,3959155.30,2504905,2480787,1747719,1224505,1119396,1118577
_mofj,userp,xybl_,zhtg_,winac,_dvkq,00-34,22.8475,0.36%,0.99%,23.90%,35.01%,51.46%,48.54%,50.25%,49.75%,8123611.70,4180765.60,3942846.10,2505068,2480624,1745269,1191354,1118217,1122206
_mofj,userp,xybl_,qhtg_,winac,_dvkz,00-40,22.8433,0.36%,0.99%,23.91%,35.01%,51.44%,48.56%,50.25%,49.75%,8126707.40,4180765.60,3945941.80,2505068,2480624,1745269,1192198,1118217,1122206
_mofj,userp,xybl_,qhtg_,winac,_dkvz,10-65,22.8371,0.36%,0.99%,23.91%,35.01%,51.41%,48.59%,50.25%,49.75%,8132633.50,4180765.60,3951867.90,2505068,2480624,1745269,1192198,1118217,1122206
xmofj,userp,_yblq,_htw_,ginac,zdvk_,canigpresu,22.8182,0.35%,1.39%,23.08%,34.90%,51.71%,48.29%,50.35%,49.65%,8144637.40,4211884.80,3932752.60,2510050,2475642,1739979,1150584,1124814,1120899
qpofx,mseru,zybl_,_gnd_,kitac,jhwv_,00-40-*,22.8096,0.07%,0.97%,26.23%,35.05%,51.54%,48.46%,50.24%,49.76%,8089990.20,4169681.70,3920308.50,2504905,2480787,1747719,1307572,1119396,1118577
_mofj,userp,xybl_,zhtg_,kinac,_dwvq,00-35,22.8010,0.36%,0.99%,24.46%,35.01%,51.36%,48.64%,50.25%,49.75%,8139372.10,4180765.60,3958606.50,2505068,2480624,1745269,1219506,1118217,1122206
_mofj,userp,xybl_,qhtg_,kinac,_dwvz,00-80,22.7968,0.36%,0.99%,24.48%,35.01%,51.35%,48.65%,50.25%,49.75%,8142487.00,4180765.60,3961721.40,2505068,2480624,1745269,1220358,1118217,1122206
xmofj,userp,_bylq,_htw_,ginac,zdvk_,canigpresu,22.7899,0.35%,1.39%,23.08%,34.90%,51.87%,48.13%,50.35%,49.65%,8171360.80,4238608.20,3932752.60,2510050,2475642,1739979,1150584,1124814,1120899
_fom_,userp,xbylq,zhtw_,gianc,jdkv_,cnaigpresu,22.7884,0.93%,0.45%,23.05%,35.00%,50.68%,49.32%,50.11%,49.89%,8211522.80,4161430.60,4050092.20,2498498,2487194,1745238,1149345,1115015,1125439
_mofj,userp,_yblq,_htw_,ginac,zdvkx,canigpresu,22.7799,1.16%,0.61%,23.04%,34.99%,51.13%,48.87%,50.15%,49.85%,8141062.30,4162661.60,3978400.70,2500445,2485247,1744554,1148510,1114043,1127095
jmofx,userp,_yblq,_htg_,winac,zdvk_,caniwpresu,22.7794,0.35%,1.39%,23.99%,34.90%,51.74%,48.26%,50.35%,49.65%,8135920.70,4209340.10,3926580.60,2510050,2475642,1739979,1195908,1124814,1120899
xmofj,userp,_yblq,_htg_,winac,zdvk_,caniwpresu,22.7767,0.35%,1.39%,23.99%,34.90%,51.75%,48.25%,50.35%,49.65%,8138465.40,4211884.80,3926580.60,2510050,2475642,1739979,1195908,1124814,1120899
qmofj,userp,_yblx,_htg_,winac,zdvk_,caniwpresu,22.7700,0.35%,1.39%,24.02%,34.90%,51.78%,48.22%,50.35%,49.65%,8143329.20,4216748.60,3926580.60,2510050,2475642,1739979,1197372,1124814,1120899
xmofj,uresp,_bylq,_htg_,winac,zdvk_,caniwpseru,22.7551,0.35%,1.39%,23.99%,34.90%,51.87%,48.13%,50.35%,49.65%,8158892.50,4232311.90,3926580.60,2510050,2475642,1739979,1195908,1124814,1120899
_fomj,userp,xbyl_,qhtg_,vanic,zdwk_,cinavpresu,22.7546,0.36%,0.99%,24.25%,35.01%,51.24%,48.76%,50.25%,49.75%,8194015.40,4198778.40,3995237.00,2505068,2480624,1745269,1208837,1118217,1122206
jmofx,userp,_bylq,_htg_,winac,zdvk_,caniwpresu,22.7511,0.35%,1.39%,23.99%,34.90%,51.90%,48.10%,50.35%,49.65%,8162649.90,4236069.30,3926580.60,2510050,2475642,1739979,1195908,1124814,1120899
xmofj,userp,_bylq,_htg_,winac,zdvk_,caniwpresu,22.7485,0.35%,1.39%,23.99%,34.90%,51.91%,48.09%,50.35%,49.65%,8165188.80,4238608.20,3926580.60,2510050,2475642,1739979,1195908,1124814,1120899
qmofj,uresp,_bylx,_htg_,winac,zdvk_,caniwpseru,22.7483,0.35%,1.39%,24.02%,34.90%,51.90%,48.10%,50.35%,49.65%,8163849.70,4237269.10,3926580.60,2510050,2475642,1739979,1197372,1124814,1120899
qmofj,userp,_bylx,_htg_,winac,zdvk_,caniwpresu,22.7417,0.35%,1.39%,24.02%,34.90%,51.94%,48.06%,50.35%,49.65%,8170108.60,4243528.00,3926580.60,2510050,2475642,1739979,1197372,1124814,1120899
_fomj,userp,xbylq,_htw_,gianc,zdkv_,cnaigpresu,22.7336,0.35%,1.39%,23.11%,34.90%,51.34%,48.66%,50.35%,49.65%,8222960.00,4221855.60,4001104.40,2510050,2475642,1739979,1152176,1124814,1120899
xfomj,userp,_bylq,zhtw_,gianc,_dkv_,cnaigpresu,22.7303,0.35%,1.39%,23.06%,34.90%,51.40%,48.60%,50.35%,49.65%,8228488.80,4229759.10,3998729.70,2510050,2475642,1739979,1149838,1124814,1120899
xfomj,userp,_bylq,zhtw_,gianc,_dvk_,cnaigpresu,22.7278,0.35%,1.39%,23.06%,34.90%,51.39%,48.61%,50.35%,49.65%,8230813.10,4229759.10,4001054.00,2510050,2475642,1739979,1149838,1124814,1120899
_mupx,lreob,wfydv,_htc_,kinas,_gjzq,00-100-**,22.6908,0.94%,0.66%,24.84%,33.86%,54.79%,45.21%,50.16%,49.84%,8567030.80,4693479.40,3873551.40,2500996,2484696,1688395,1238507,1143235,1154062
_uspq,laerv,zkyd_,xhtw_,fnoic,_mbgj,10-40,22.6490,0.01%,0.04%,21.41%,36.09%,49.43%,50.57%,49.99%,50.01%,8340604.10,4122400.80,4218203.30,2492373,2493319,1799333,1067258,1093146,1093213
_psuq,laerv,zkyd_,xhtw_,fnoic,_mbgj,10-60,22.6178,0.01%,0.04%,21.41%,36.09%,49.61%,50.39%,49.99%,50.01%,8370915.60,4152712.30,4218203.30,2492373,2493319,1799333,1067258,1093146,1093213
xfomj,userp,_bylq,zhtk_,gianc,_dwv_,cnaigpresu,22.6167,0.35%,1.39%,23.64%,34.90%,50.91%,49.09%,50.35%,49.65%,8307893.20,4229759.10,4078134.10,2510050,2475642,1739979,1178692,1124814,1120899
_msp_,lreab,xvyd_,zhtw_,finoc,jukgq,lreabfinoc,22.6150,0.16%,2.69%,23.93%,34.20%,50.73%,49.27%,50.66%,49.34%,8304270.20,4212984.20,4091286.00,2525874,2459818,1705266,1192992,1139276,1141150
_msp_,lreab,xvyd_,zhtw_,finoc,qukgj,lreabfinoc,22.6136,0.16%,2.69%,23.93%,34.20%,50.72%,49.28%,50.66%,49.34%,8305612.60,4212984.20,4092628.40,2525874,2459818,1705266,1192992,1139276,1141150
xmsp_,lreab,_vyd_,_htwz,finoc,qukgj,lreabfinoc,22.6058,0.16%,2.69%,23.86%,34.20%,50.73%,49.27%,50.66%,49.34%,8316572.10,4219196.50,4097375.60,2525874,2459818,1705266,1189478,1139276,1141150
_usbq,hertp,zkvc_,jfom_,wnaid,_lygx,05-34,22.5433,0.13%,1.46%,22.40%,35.16%,49.71%,50.29%,50.36%,49.64%,8380486.40,4166096.10,4214390.30,2510869,2474823,1753212,1116581,1115497,1116983
_uspq,hertc,zxvg_,jfow_,mnaid,_lbyk,b5,22.5433,0.13%,0.96%,20.40%,35.56%,49.43%,50.57%,50.24%,49.76%,8451163.00,4177251.20,4273911.80,2504773,2480919,1772827,1016966,1105737,1107128
xmcpk,lreab,vywdz,quof_,_nits,_hgj_,00-80-*,22.5417,0.43%,0.44%,25.32%,34.46%,52.89%,47.11%,50.11%,49.89%,8637138.40,4568143.90,4068994.50,2498318,2487374,1718138,1262269,1131343,1136211
_mofv,hretp,zqkw_,jusc_,gianl,_dbyx,07-35,22.5355,0.09%,0.87%,20.52%,35.68%,48.20%,51.80%,50.22%,49.78%,8439044.00,4067690.30,4371353.70,2503694,2481998,1778658,1022884,1104006,1103028
_usbq,hertp,zkvc_,xfom_,wnaid,_lygj,055-34,22.5339,0.13%,1.46%,22.51%,35.16%,49.69%,50.31%,50.36%,49.64%,8383942.40,4166096.10,4217846.30,2510869,2474823,1753212,1122235,1115497,1116983
_uscq,hertp,xzvg_,jfom_,wnaid,_lbyk,06-35,22.5177,0.13%,0.96%,21.70%,35.56%,49.39%,50.61%,50.24%,49.76%,8411152.80,4154581.60,4256571.20,2504773,2480919,1772827,1081866,1105737,1107128
_usbq,hertp,zvkc_,jfom_,wnaid,_lygx,04-34,22.5122,0.13%,1.46%,22.40%,35.16%,49.89%,50.11%,50.36%,49.64%,8410619.90,4196229.60,4214390.30,2510869,2474823,1753212,1116581,1115497,1116983
_usbq,hertp,zkvc_,jfom_,wnaid,_lgyx,06-36,22.5116,0.13%,1.46%,22.40%,35.16%,49.53%,50.47%,50.36%,49.64%,8411136.90,4166096.10,4245040.80,2510869,2474823,1753212,1116581,1115497,1116983
_uspq,laerv,zkyd_,jfom_,bnitc,_hwgx,r00b10,22.4807,0.01%,0.04%,24.58%,36.09%,49.39%,50.61%,49.99%,50.01%,8346864.40,4122400.80,4224463.60,2492373,2493319,1799333,1225719,1093146,1093213
_uspq,laerv,zkyd_,_fom_,bnitc,xhwgj,00-20-**,22.4748,0.01%,0.04%,24.73%,36.09%,49.40%,50.60%,49.99%,50.01%,8345362.00,4122400.80,4222961.20,2492373,2493319,1799333,1233051,1093146,1093213
_uspq,laerv,zkyd_,xfom_,bnitc,_hwgj,00-20,22.4725,0.01%,0.04%,24.70%,36.09%,49.38%,50.62%,49.99%,50.01%,8349131.10,4122400.80,4226730.30,2492373,2493319,1799333,1231527,1093146,1093213
qusbj,laerp,_vymx,_htg_,finoc,zdwk_,laerpfinoc,22.4667,2.59%,0.26%,23.10%,34.61%,51.53%,48.47%,49.93%,50.07%,8345562.30,4300634.10,4044928.20,2489588,2496104,1725310,1151637,1144650,1115732
quspj,laerb,_vymx,_htg_,finoc,zdwk_,laerbfinoc,22.4618,2.59%,0.26%,23.34%,34.61%,51.49%,48.51%,49.93%,50.07%,8338171.10,4293242.90,4044928.20,2489588,2496104,1725310,1163730,1144650,1115732
_uspq,learv,zkyd_,jfom_,bnitc,_hwgx,00-32,22.4548,0.01%,0.04%,24.58%,36.09%,49.54%,50.46%,49.99%,50.01%,8372392.10,4147928.50,4224463.60,2492373,2493319,1799333,1225719,1093146,1093213
_ysbx,lreap,_vmd_,jhtwz,gionc,_ukfq,lreapgionc,22.4521,0.16%,2.69%,24.14%,34.20%,51.04%,48.96%,50.66%,49.34%,8449099.50,4312182.30,4136917.20,2525874,2459818,1705266,1203673,1139276,1141150
_psuq,laerv,zkyd_,jfom_,bnitc,_hwgx,00-15,22.4500,0.01%,0.04%,24.58%,36.09%,49.57%,50.43%,49.99%,50.01%,8377175.90,4152712.30,4224463.60,2492373,2493319,1799333,1225719,1093146,1093213
_psuq,laerv,zkyd_,xfom_,bnitc,_hwgj,00-33,22.4418,0.01%,0.04%,24.70%,36.09%,49.56%,50.44%,49.99%,50.01%,8379442.60,4152712.30,4226730.30,2492373,2493319,1799333,1231527,1093146,1093213
_mspx,lreab,qvyd_,zhtw_,finoc,_ukgj,lreabfinoc,22.4278,0.53%,3.10%,23.90%,34.26%,51.01%,48.99%,50.76%,49.24%,8299597.40,4233218.80,4066378.60,2530856,2454836,1708204,1191368,1141759,1135729
_uspq,laerk,zvyd_,jfom_,bnitc,_hwgx,00-30,22.4266,0.01%,0.04%,25.15%,36.09%,49.54%,50.46%,49.99%,50.01%,8371976.80,4147513.20,4224463.60,2492373,2493319,1799333,1254010,1093146,1093213
_mspq,lreab,xvyd_,zhtw_,finoc,_ukgj,lreabfinoc,22.4225,0.53%,3.10%,23.95%,34.26%,51.02%,48.98%,50.76%,49.24%,8301848.30,4235469.70,4066378.60,2530856,2454836,1708204,1194116,1141759,1135729
_dng_,lreav,xkby_,zhtwq,fisoc,jump_,lreavfisoc,22.4212,1.73%,0.96%,23.68%,34.97%,47.33%,52.67%,49.76%,50.24%,8264330.50,3911219.60,4353110.90,2480845,2504847,1743402,1180602,1130763,1111527
xmsp_,lreab,_vydq,zhtw_,finoc,_ukgj,lreabfinoc,22.4183,0.53%,3.10%,23.90%,34.26%,51.06%,48.94%,50.76%,49.24%,8308618.50,4242239.90,4066378.60,2530856,2454836,1708204,1191368,1141759,1135729
qusbj,laerp,_kymx,_htg_,finoc,zdwv_,laerpfinoc,22.4183,1.13%,1.58%,22.88%,34.90%,50.72%,49.28%,49.60%,50.40%,8320248.80,4220355.20,4099893.60,2472949,2512743,1739877,1140882,1116538,1129277
xmsp_,lreab,_vydq,_htwz,finoc,_ukgj,lreabfinoc,22.4134,0.53%,3.10%,23.90%,34.26%,51.03%,48.97%,50.76%,49.24%,8313368.80,4242239.90,4071128.90,2530856,2454836,1708204,1191368,1141759,1135729
quspj,laerb,_kymx,_htg_,finoc,zdwv_,laerbfinoc,22.4133,1.13%,1.58%,23.13%,34.90%,50.68%,49.32%,49.60%,50.40%,8312852.40,4212958.80,4099893.60,2472949,2512743,1739877,1153105,1116538,1129277
_msuq,lraep,xbvy_,kfocj,wtinh,zdg__,lraepwtinh,22.4029,1.30%,1.18%,22.92%,34.68%,49.14%,50.86%,49.70%,50.30%,8462991.50,4158832.00,4304159.50,2478036,2507656,1729103,1142747,1135584,1121005
_uspq,hertv,xkwc_,jfog_,mnaid,_lbyz,a,22.3915,0.39%,1.97%,22.21%,35.15%,50.14%,49.86%,50.49%,49.51%,8376976.80,4200160.20,4176816.60,2517127,2468565,1752301,1107137,1114487,1118904
qpsu_,lrea_,kvydz,jfom_,bnitc,_hwgx,00-20-*,22.3883,0.01%,0.04%,25.75%,36.09%,49.59%,50.41%,49.99%,50.01%,8380245.30,4155781.70,4224463.60,2492373,2493319,1799333,1283836,1093146,1093213
_msuq,lreap,xvby_,kfocj,wtinh,zdg__,lreapwtinh,22.3766,1.30%,1.18%,22.92%,34.68%,49.29%,50.71%,49.70%,50.30%,8488496.00,4184336.50,4304159.50,2478036,2507656,1729103,1142747,1135584,1121005
xwofv,uderp,mbylq,zksc_,haint,jg___,tniahpredu,22.3700,0.25%,1.06%,23.33%,33.77%,52.53%,47.47%,50.26%,49.74%,9048119.10,4752800.70,4295318.40,2505978,2479714,1683805,1163104,1149482,1152405
_msuq,lraep,xbvy_,kfocj,wtnih,zdg__,lraepwtnih,22.3667,1.30%,1.18%,22.92%,34.68%,48.94%,51.06%,49.70%,50.30%,8498150.60,4158832.00,4339318.60,2478036,2507656,1729103,1142747,1135584,1121005
xdng_,lreay,_kbv_,jhtwz,fiosc,_umpq,lreayfiosc,22.3584,1.73%,0.96%,23.89%,34.97%,47.45%,52.55%,49.76%,50.24%,8314898.40,3945133.30,4369765.10,2480845,2504847,1743402,1190852,1130763,1111527
_msuq,lreap,xvby_,kfocj,wtnih,zdg__,lreapwtnih,22.3405,1.30%,1.18%,22.92%,34.68%,49.09%,50.91%,49.70%,50.30%,8523655.10,4184336.50,4339318.60,2478036,2507656,1729103,1142747,1135584,1121005
_msuq,lreap,xbvy_,kfocj,wtinh,zdg__,lreapwtinh,22.3382,1.30%,1.18%,22.92%,34.68%,49.52%,50.48%,49.70%,50.30%,8525911.90,4221752.40,4304159.50,2478036,2507656,1729103,1142747,1135584,1121005
qlsp_,mreay,_vbdx,zhtuj,finoc,kgw__,mreayfinoc,22.3320,0.53%,3.10%,25.29%,34.26%,50.67%,49.33%,50.76%,49.24%,8322101.80,4216423.60,4105678.20,2530856,2454836,1708204,1260852,1141759,1135729
xwofv,uderb,mpylq,zksc_,haint,jg___,tniahbredu,22.3262,0.25%,1.06%,23.82%,33.77%,52.63%,47.37%,50.26%,49.74%,9067031.00,4771712.60,4295318.40,2505978,2479714,1683805,1187381,1149482,1152405
_uspq,laerv,xybm_,kfocj,wtinh,zdg__,laervwtinh,22.3219,1.30%,1.18%,23.42%,34.68%,49.46%,50.54%,49.70%,50.30%,8516792.20,4212632.70,4304159.50,2478036,2507656,1729103,1167725,1135584,1121005
_usbq,laerp,xvym_,kfocj,wtinh,zdg__,laerpwtinh,22.3091,1.30%,1.18%,23.17%,34.68%,49.61%,50.39%,49.70%,50.30%,8541802.90,4237643.40,4304159.50,2478036,2507656,1729103,1155235,1135584,1121005
_uspq,laerb,xvym_,kfocj,wtinh,zdg__,laerbwtinh,22.3066,1.30%,1.18%,23.41%,34.68%,49.56%,50.44%,49.70%,50.30%,8532489.90,4228330.40,4304159.50,2478036,2507656,1729103,1167004,1135584,1121005
_vsyx,lraep,qbmu_,kfocj,wtinh,zdg__,lraepwtinh,22.3047,1.30%,1.18%,23.71%,34.68%,49.48%,50.52%,49.70%,50.30%,8519010.90,4214851.40,4304159.50,2478036,2507656,1729103,1182277,1135584,1121005
_usbq,laerp,xyvm_,kfocj,wtinh,zdg__,laerpwtinh,22.3043,1.30%,1.18%,23.17%,34.68%,49.64%,50.36%,49.70%,50.30%,8546504.50,4242345.00,4304159.50,2478036,2507656,1729103,1155235,1135584,1121005
_msuq,lreap,xbvy_,kfocj,wtnih,zdg__,lreapwtnih,22.3021,1.30%,1.18%,22.92%,34.68%,49.31%,50.69%,49.70%,50.30%,8561071.00,4221752.40,4339318.60,2478036,2507656,1729103,1142747,1135584,1121005
_uspq,laerb,xyvm_,kfocj,wtinh,zdg__,laerbwtinh,22.3014,1.30%,1.18%,23.41%,34.68%,49.59%,50.41%,49.70%,50.30%,8537552.00,4233392.50,4304159.50,2478036,2507656,1729103,1167004,1135584,1121005
_usbq,laerp,xvym_,kfocz,wtinh,jdg__,laerpwtinh,22.3004,1.30%,1.18%,23.28%,34.68%,49.59%,50.41%,49.70%,50.30%,8544712.50,4237643.40,4307069.10,2478036,2507656,1729103,1160829,1135584,1121005
_uspq,laerb,xvym_,kfocz,wtinh,jdg__,laerbwtinh,22.2979,1.30%,1.18%,23.52%,34.68%,49.54%,50.46%,49.70%,50.30%,8535399.50,4228330.40,4307069.10,2478036,2507656,1729103,1172598,1135584,1121005
_uspx,laerb,qvym_,kfocj,wtinh,zdg__,laerbwtinh,22.2911,1.30%,1.18%,23.52%,34.68%,49.61%,50.39%,49.70%,50.30%,8542072.50,4237913.00,4304159.50,2478036,2507656,1729103,1172582,1135584,1121005
_uspq,laerb,vxym_,kfocj,wtinh,zdg__,laerbwtinh,22.2898,1.30%,1.18%,23.41%,34.68%,49.65%,50.35%,49.70%,50.30%,8548873.10,4244713.60,4304159.50,2478036,2507656,1729103,1167004,1135584,1121005
_msyx,lreap,jvbu_,kfocz,wtinh,qdg__,lreapwtinh,22.2896,1.88%,0.66%,24.01%,34.72%,49.74%,50.26%,49.83%,50.17%,8494808.10,4224991.80,4269816.30,2484606,2501086,1731164,1197046,1137771,1116757
_uspq,laerv,xybm_,kfocj,wtnih,zdg__,laervwtnih,22.2859,1.30%,1.18%,23.42%,34.68%,49.26%,50.74%,49.70%,50.30%,8551951.30,4212632.70,4339318.60,2478036,2507656,1729103,1167725,1135584,1121005
_uspq,laerv,xbym_,kfocj,wtinh,zdg__,laervwtinh,22.2839,1.30%,1.18%,23.42%,34.68%,49.68%,50.32%,49.70%,50.30%,8553995.20,4249835.70,4304159.50,2478036,2507656,1729103,1167725,1135584,1121005
_uspq,laerb,vxym_,kfocz,wtinh,jdg__,laerbwtinh,22.2811,1.30%,1.18%,23.52%,34.68%,49.64%,50.36%,49.70%,50.30%,8551782.70,4244713.60,4307069.10,2478036,2507656,1729103,1172598,1135584,1121005
_usbq,laerp,xvym_,jfock,wtinh,zdg__,laerpwtinh,22.2764,1.30%,1.18%,23.17%,34.68%,49.43%,50.57%,49.70%,50.30%,8573773.10,4237643.40,4336129.70,2478036,2507656,1729103,1155235,1135584,1121005
_uspq,laerb,xvym_,jfock,wtinh,zdg__,laerbwtinh,22.2739,1.30%,1.18%,23.41%,34.68%,49.37%,50.63%,49.70%,50.30%,8564460.10,4228330.40,4336129.70,2478036,2507656,1729103,1167004,1135584,1121005
_usbq,laerp,xvym_,kfocj,wtnih,zdg__,laerpwtnih,22.2732,1.30%,1.18%,23.17%,34.68%,49.41%,50.59%,49.70%,50.30%,8576962.00,4237643.40,4339318.60,2478036,2507656,1729103,1155235,1135584,1121005
_uspq,laerb,xvym_,kfocj,wtnih,zdg__,laerbwtnih,22.2707,1.30%,1.18%,23.41%,34.68%,49.35%,50.65%,49.70%,50.30%,8567649.00,4228330.40,4339318.60,2478036,2507656,1729103,1167004,1135584,1121005
_usbq,laerp,xvym_,zfock,wtinh,jdg__,laerpwtinh,22.2691,1.30%,1.18%,23.28%,34.68%,49.42%,50.58%,49.70%,50.30%,8575318.40,4237643.40,4337675.00,2478036,2507656,1729103,1160829,1135584,1121005
_vsyx,lraep,qbmu_,kfocj,wtnih,zdg__,lraepwtnih,22.2688,1.30%,1.18%,23.71%,34.68%,49.27%,50.73%,49.70%,50.30%,8554170.00,4214851.40,4339318.60,2478036,2507656,1729103,1182277,1135584,1121005
_usbq,laerp,xyvm_,kfocj,wtnih,zdg__,laerpwtnih,22.2684,1.30%,1.18%,23.17%,34.68%,49.43%,50.57%,49.70%,50.30%,8581663.60,4242345.00,4339318.60,2478036,2507656,1729103,1155235,1135584,1121005
zwofv,uderp,mbylq,xksc_,haint,jg___,tniahpredu,22.2657,0.75%,0.80%,23.18%,33.92%,52.36%,47.64%,50.20%,49.80%,9054919.70,4740800.20,4314119.50,2502780,2482912,1690919,1155911,1143063,1151710
_uspq,laerb,xyvm_,kfocj,wtnih,zdg__,laerbwtnih,22.2655,1.30%,1.18%,23.41%,34.68%,49.38%,50.62%,49.70%,50.30%,8572711.10,4233392.50,4339318.60,2478036,2507656,1729103,1167004,1135584,1121005
_usbq,laerp,xvym_,kfocz,wtnih,jdg__,laerpwtnih,22.2648,1.30%,1.18%,23.28%,34.68%,49.39%,50.61%,49.70%,50.30%,8579579.00,4237643.40,4341935.60,2478036,2507656,1729103,1160829,1135584,1121005
_uspq,laerb,xvym_,kfocz,wtnih,jdg__,laerbwtnih,22.2623,1.30%,1.18%,23.52%,34.68%,49.34%,50.66%,49.70%,50.30%,8570266.00,4228330.40,4341935.60,2478036,2507656,1729103,1172598,1135584,1121005
_usbj,laerp,vxym_,kfocq,wtinh,zdg__,laerpwtinh,22.2623,1.88%,0.66%,23.22%,34.72%,50.12%,49.88%,49.83%,50.17%,8560975.70,4290772.00,4270203.70,2484606,2501086,1731164,1157666,1137771,1116757
_psuq,laerb,xvym_,kfocj,wtinh,zdg__,laerbwtinh,22.2618,1.30%,1.18%,23.41%,34.68%,49.81%,50.19%,49.70%,50.30%,8576372.20,4272212.70,4304159.50,2478036,2507656,1729103,1167004,1135584,1121005
_usbq,laerp,xyvm_,kfocz,wtnih,jdg__,laerpwtnih,22.2600,1.30%,1.18%,23.28%,34.68%,49.42%,50.58%,49.70%,50.30%,8584280.60,4242345.00,4341935.60,2478036,2507656,1729103,1160829,1135584,1121005
xysu_,lreap,zvbmq,_htck,goinw,_dfj_,lreapgoinw,22.2595,2.31%,0.67%,23.74%,34.66%,50.56%,49.44%,49.83%,50.17%,8463358.40,4279108.90,4184249.50,2484443,2501249,1728218,1183433,1141648,1115826
_dngj,lreav,_kybx,_htf_,wiosc,zumpq,lreavwiosc,22.2592,3.04%,0.04%,24.55%,35.00%,47.92%,52.08%,49.99%,50.01%,8288459.10,3971864.40,4316594.70,2492397,2493295,1745211,1224203,1137028,1103453
_uspx,laerb,qvym_,kfocj,wtnih,zdg__,laerbwtnih,22.2552,1.30%,1.18%,23.52%,34.68%,49.41%,50.59%,49.70%,50.30%,8577231.60,4237913.00,4339318.60,2478036,2507656,1729103,1172582,1135584,1121005
_uspq,laerb,vxym_,kfocj,wtnih,zdg__,laerbwtnih,22.2540,1.30%,1.18%,23.41%,34.68%,49.45%,50.55%,49.70%,50.30%,8584032.20,4244713.60,4339318.60,2478036,2507656,1729103,1167004,1135584,1121005
_uspq,laerv,xbym_,kfocj,wtnih,zdg__,laervwtnih,22.2480,1.30%,1.18%,23.42%,34.68%,49.48%,50.52%,49.70%,50.30%,8589154.30,4249835.70,4339318.60,2478036,2507656,1729103,1167725,1135584,1121005
_uspx,laerb,qvym_,kfocz,wtnih,jdg__,laerbwtnih,22.2469,1.30%,1.18%,23.63%,34.68%,49.39%,50.61%,49.70%,50.30%,8579848.60,4237913.00,4341935.60,2478036,2507656,1729103,1178176,1135584,1121005
_usbq,laerp,xvym_,zfocj,wtnih,kdg__,laerpwtnih,22.2447,1.30%,1.18%,23.56%,34.68%,49.36%,50.64%,49.70%,50.30%,8585393.10,4237643.40,4347749.70,2478036,2507656,1729103,1174701,1135584,1121005
_usbq,laerp,xvym_,jfocz,wtnih,kdg__,laerpwtnih,22.2432,1.30%,1.18%,23.56%,34.68%,49.35%,50.65%,49.70%,50.30%,8586933.20,4237643.40,4349289.80,2478036,2507656,1729103,1174701,1135584,1121005
_uspq,laerb,xvym_,zfocj,wtnih,kdg__,laerbwtnih,22.2422,1.30%,1.18%,23.80%,34.68%,49.30%,50.70%,49.70%,50.30%,8576080.10,4228330.40,4347749.70,2478036,2507656,1729103,1186470,1135584,1121005
_usbj,laerp,xyvm_,kfocq,wtnih,zdg__,laerpwtnih,22.2384,1.88%,0.66%,23.22%,34.72%,49.85%,50.15%,49.83%,50.17%,8584453.10,4279090.30,4305362.80,2484606,2501086,1731164,1157666,1137771,1116757
_usbq,laerp,xvym_,jfock,wtnih,zdg__,laerpwtnih,22.2377,1.30%,1.18%,23.17%,34.68%,49.21%,50.79%,49.70%,50.30%,8611800.80,4237643.40,4374157.40,2478036,2507656,1729103,1155235,1135584,1121005
_uspq,laerb,xvym_,jfock,wtnih,zdg__,laerbwtnih,22.2352,1.30%,1.18%,23.41%,34.68%,49.15%,50.85%,49.70%,50.30%,8602487.80,4228330.40,4374157.40,2478036,2507656,1729103,1167004,1135584,1121005
_usbq,laerp,xvym_,zfock,wtnih,jdg__,laerpwtnih,22.2309,1.30%,1.18%,23.28%,34.68%,49.20%,50.80%,49.70%,50.30%,8612905.30,4237643.40,4375261.90,2478036,2507656,1729103,1160829,1135584,1121005
_uspq,laerb,xvym_,zfock,wtnih,jdg__,laerbwtnih,22.2284,1.30%,1.18%,23.52%,34.68%,49.15%,50.85%,49.70%,50.30%,8603592.30,4228330.40,4375261.90,2478036,2507656,1729103,1172598,1135584,1121005
xwovf,uderb,mpylq,zksc_,haint,jg___,tniahbredu,22.2127,0.25%,1.06%,23.82%,33.77%,53.21%,46.79%,50.26%,49.74%,9179685.30,4884366.90,4295318.40,2505978,2479714,1683805,1187381,1149482,1152405
_uspj,laerb,xvym_,zfock,wtnih,qdg__,laerbwtnih,22.2083,1.88%,0.66%,23.44%,34.72%,49.58%,50.42%,49.83%,50.17%,8603167.50,4265400.00,4337767.50,2484606,2501086,1731164,1168571,1137771,1116757
zmdbv,uoerf,xpylw,qksc_,hnait,jg___,tianhfreou,22.2035,0.04%,1.17%,23.09%,33.92%,53.32%,46.68%,50.29%,49.71%,9198413.60,4904947.10,4293466.50,2507403,2478289,1690900,1151085,1147604,1147188
